"scenario","region","year","age","sex","cardio_deaths","allcause_deaths","pop","n_countries","cardio_mortality_rate","cardio_mortality_rate_100k","allcause_mortality_rate","allcause_mortality_rate_100k","cardio_share"
"SSP1","East Asia & Pacific",2025,"0-4","Female",1098.95524572605,125388.033923245,51849000,20,2.11953026235038e-05,2.11953026235038,0.00241833080528544,241.833080528544,0.00876443478170146
"SSP1","East Asia & Pacific",2025,"0-4","Male",1317.35005510476,167330.242770513,56478200,20,2.33249298863058e-05,2.33249298863058,0.0029627403630164,296.27403630164,0.00787275529690982
"SSP1","East Asia & Pacific",2025,"5-9","Female",440.403453131582,17289.5918781141,67344900,20,6.53952197020979e-06,0.653952197020979,0.000256732015016937,25.6732015016937,0.0254721717109507
"SSP1","East Asia & Pacific",2025,"5-9","Male",565.780622867122,27394.8216406902,74627100,20,7.58143654070869e-06,0.758143654070869,0.000367089457324353,36.7089457324353,0.0206528310455124
"SSP1","East Asia & Pacific",2025,"10-14","Female",1207.22336225227,23671.2604123769,70734600,20,1.70669426596357e-05,1.70669426596357,0.000334648961220915,33.4648961220915,0.0509995387326756
"SSP1","East Asia & Pacific",2025,"10-14","Male",1501.55680991623,39547.2143463655,79366200,20,1.89193486637414e-05,1.89193486637414,0.000498287864939553,49.8287864939553,0.0379687124550714
"SSP1","East Asia & Pacific",2025,"15-19","Female",1820.29142610026,22580.5531856313,67192000,20,2.70908951378179e-05,2.70908951378179,0.000336060143850925,33.6060143850925,0.0806132343674628
"SSP1","East Asia & Pacific",2025,"15-19","Male",2851.5395653874,45492.5108292532,75608500,20,3.77145369288823e-05,3.77145369288823,0.000601685138962593,60.1685138962593,0.062681516438828
"SSP1","East Asia & Pacific",2025,"20-24","Female",4031.1832140187,40888.0481341505,64014300,20,6.29731671520067e-05,6.29731671520067,0.000638733035183552,63.8733035183552,0.0985907471247516
"SSP1","East Asia & Pacific",2025,"20-24","Male",6384.0559800697,80031.6531706137,71620200,20,8.9137645246309e-05,8.9137645246309,0.00111744526223906,111.744526223906,0.079769137924216
"SSP1","East Asia & Pacific",2025,"25-29","Female",5147.65819888601,42924.8387380853,65974300,20,7.80252037366976e-05,7.80252037366976,0.000650629695776769,65.0629695776769,0.119922598435267
"SSP1","East Asia & Pacific",2025,"25-29","Male",9993.4588192886,83398.6610965113,72889300,20,0.000137104606839256,13.7104606839256,0.00114418249450209,114.418249450209,0.119827569026844
"SSP1","East Asia & Pacific",2025,"30-34","Female",10123.8092479744,63012.9365185909,76158000,20,0.000132931658499099,13.2931658499099,0.000827397469978084,82.7397469978084,0.160662394221027
"SSP1","East Asia & Pacific",2025,"30-34","Male",19472.3025117425,111120.885846418,82678500,20,0.00023551833320322,23.551833320322,0.00134401187547449,134.401187547449,0.175235306697028
"SSP1","East Asia & Pacific",2025,"35-39","Female",15042.7958887141,80390.8013910661,84189600,20,0.000178677602562717,17.8677602562717,0.000954878053715258,95.4878053715258,0.187120859954331
"SSP1","East Asia & Pacific",2025,"35-39","Male",33233.25462154,140920.365169806,89596400,20,0.00037092176272194,37.092176272194,0.00157283512696722,157.283512696722,0.235830034796566
"SSP1","East Asia & Pacific",2025,"40-44","Female",26951.9045667095,111213.650553342,75613100,20,0.000356444909238076,35.6444909238076,0.00147082516856659,147.082516856659,0.242343493200795
"SSP1","East Asia & Pacific",2025,"40-44","Male",56311.4092014383,195684.945421275,79057100,20,0.000712287817304686,71.2287817304686,0.00247523556291939,247.523556291939,0.287765668841872
